record_id,date,city,season,temperature,feels_like_temperature,condition,humidity,pressure,wind_speed,cloud_cover,precipitation_probability,uv_index,visibility_km
1,2020-10-26,Berlin,Spring,16.9,12.3,Sunny,64,983,43,19,7,7,19
2,2020-10-31,Mumbai,Spring,37.2,36.2,Sunny,91,1002,41,15,1,9,11
3,2020-11-05,Toronto,Summer,28.7,26.1,Partly Cloudy,30,1029,33,66,21,4,16
4,2020-11-10,Sydney,Spring,18.1,18.1,Partly Cloudy,54,999,8,29,13,4,16
5,2020-11-15,Berlin,Summer,35.7,36.3,Cloudy,74,1004,1,54,37,2,8
6,2020-11-20,Singapore,Fall,27.9,27.3,Partly Cloudy,78,1009,29,65,28,5,21
7,2020-11-25,Tokyo,Winter,-1.3,-1.5,Cloudy,45,997,21,98,37,1,12
8,2020-11-30,Berlin,Spring,12.4,7.4,Partly Cloudy,48,1021,45,25,9,5,13
9,2020-12-05,Toronto,Winter,-5.0,-5.0,Cloudy,52,990,10,56,28,4,11
10,2020-12-10,Sydney,Spring,26.7,22.3,Cloudy,54,1008,42,68,54,3,8
11,2020-12-15,Mumbai,Winter,14.8,14.8,Sunny,45,996,16,1,7,11,22
12,2020-12-20,Toronto,Spring,15.5,12.5,Partly Cloudy,83,1005,35,55,18,4,17
13,2020-12-25,Toronto,Spring,5.7,5.7,Cloudy,30,1002,12,83,20,2,7
14,2020-12-30,Tokyo,Spring,19.8,19.8,Partly Cloudy,71,1027,6,61,13,6,11
15,2021-01-04,Paris,Spring,14.9,14.9,Partly Cloudy,48,999,15,33,13,5,19
16,2021-01-09,Sydney,Spring,21.7,19.3,Cloudy,63,1024,32,97,51,1,10
17,2021-01-14,London,Spring,16.7,11.9,Partly Cloudy,84,981,44,55,24,4,16
18,2021-01-19,Toronto,Spring,10.0,10.0,Cloudy,47,1003,0,54,32,1,10
19,2021-01-24,Paris,Spring,20.3,20.3,Sunny,63,1010,10,19,7,7,25
20,2021-01-29,London,Spring,15.1,15.1,Partly Cloudy,74,1006,5,49,15,4,21
21,2021-02-03,Sydney,Winter,16.1,16.1,Partly Cloudy,35,981,19,24,18,4,24
22,2021-02-08,New York,Summer,39.7,36.9,Cloudy,50,993,34,83,45,4,10
23,2021-02-13,Singapore,Spring,34.1,30.6,Partly Cloudy,77,983,43,24,12,7,12
24,2021-02-18,Paris,Summer,22.2,19.0,Partly Cloudy,68,1028,36,52,15,5,25
25,2021-02-23,Dubai,Spring,42.5,38.5,Sunny,60,992,40,13,8,10,27
26,2021-02-28,New York,Spring,8.7,7.7,Cloudy,39,1015,25,59,59,3,11
27,2021-03-05,Singapore,Winter,9.5,9.5,Partly Cloudy,59,1014,11,42,29,5,15
28,2021-03-10,Tokyo,Fall,18.4,16.6,Partly Cloudy,47,1023,29,61,24,4,26
29,2021-03-15,Berlin,Fall,15.1,13.7,Rainy,89,987,27,75,70,1,3
30,2021-03-20,Mumbai,Winter,18.8,17.6,Cloudy,44,981,26,68,29,2,6
31,2021-03-25,Dubai,Summer,37.2,33.0,Cloudy,33,985,41,62,22,3,5
32,2021-03-30,Tokyo,Fall,9.7,9.7,Sunny,92,1010,18,1,6,7,28
33,2021-04-04,Sydney,Winter,11.7,11.7,Cloudy,69,989,4,53,46,3,9
34,2021-04-09,Tokyo,Winter,-0.8,-0.8,Sunny,38,1023,4,15,2,11,13
35,2021-04-14,Berlin,Fall,15.5,11.5,Cloudy,38,1000,40,54,59,1,6
36,2021-04-19,Sydney,Summer,37.6,36.4,Cloudy,55,1021,26,93,50,3,12
37,2021-04-24,Dubai,Winter,20.2,18.8,Partly Cloudy,33,989,27,42,25,7,18
38,2021-04-29,Berlin,Spring,11.4,10.4,Cloudy,45,1002,25,60,41,1,12
39,2021-05-04,London,Summer,33.0,31.8,Partly Cloudy,44,982,26,37,23,4,27
40,2021-05-09,Mumbai,Summer,43.1,39.2,Partly Cloudy,81,1011,48,44,18,6,20
41,2021-05-14,Dubai,Fall,16.6,12.4,Cloudy,34,999,41,50,56,2,8
42,2021-05-19,London,Fall,7.5,7.5,Partly Cloudy,49,989,20,41,23,6,18
43,2021-05-24,Singapore,Spring,21.4,21.4,Partly Cloudy,47,1008,0,23,17,7,22
44,2021-05-29,Dubai,Winter,25.5,24.1,Partly Cloudy,31,1020,27,29,22,7,29
45,2021-06-03,Singapore,Fall,25.8,20.4,Partly Cloudy,42,1025,47,36,27,6,17
46,2021-06-08,Sydney,Fall,26.2,26.2,Cloudy,33,1013,14,52,45,4,9
47,2021-06-13,London,Summer,21.7,21.8,Cloudy,71,1016,16,62,59,2,13
48,2021-06-18,Mumbai,Fall,19.4,18.4,Sunny,90,999,25,10,0,8,27
49,2021-06-23,Berlin,Fall,11.1,11.1,Cloudy,37,987,19,77,53,4,8
50,2021-06-28,Toronto,Fall,10.5,9.7,Partly Cloudy,92,986,24,22,16,5,12
51,2021-07-03,Tokyo,Fall,8.6,8.6,Partly Cloudy,38,985,12,79,23,6,27
52,2021-07-08,New York,Summer,28.3,25.9,Partly Cloudy,40,990,32,49,27,5,28
53,2021-07-13,Mumbai,Spring,23.5,22.8,Partly Cloudy,71,1023,24,84,11,7,18
54,2021-07-18,London,Spring,11.5,11.5,Partly Cloudy,42,997,7,54,11,4,27
55,2021-07-23,Toronto,Winter,7.1,7.1,Cloudy,65,1021,4,54,20,4,10
56,2021-07-28,Mumbai,Fall,18.7,18.7,Sunny,42,1008,5,3,1,8,25
57,2021-08-02,London,Summer,25.2,24.8,Cloudy,41,1004,22,96,27,1,7
58,2021-08-07,Paris,Winter,9.5,7.7,Partly Cloudy,66,1000,29,53,29,5,24
59,2021-08-12,Paris,Winter,-5.6,-5.6,Partly Cloudy,81,1025,13,60,14,6,13
60,2021-08-17,Singapore,Spring,16.3,15.9,Partly Cloudy,31,982,22,77,27,5,21
61,2021-08-22,Mumbai,Summer,43.4,45.6,Partly Cloudy,85,997,10,82,5,7,16
62,2021-08-27,Paris,Summer,42.6,43.4,Sunny,89,1003,30,4,3,10,20
63,2021-09-01,London,Summer,32.3,32.3,Cloudy,52,1026,5,99,59,1,14
64,2021-09-06,Singapore,Spring,29.3,29.3,Cloudy,69,1017,10,94,51,3,11
65,2021-09-11,London,Spring,13.6,13.6,Sunny,93,989,12,17,4,8,29
66,2021-09-16,Singapore,Spring,26.0,26.0,Partly Cloudy,52,1006,11,43,21,4,12
67,2021-09-21,Mumbai,Spring,24.5,24.5,Partly Cloudy,58,991,1,30,11,4,13
68,2021-09-26,Toronto,Spring,14.2,11.4,Cloudy,80,986,34,93,57,2,6
69,2021-10-01,Berlin,Fall,7.2,4.2,Partly Cloudy,60,996,35,20,13,7,29
70,2021-10-06,Dubai,Fall,31.5,32.8,Partly Cloudy,79,980,16,46,24,6,24
71,2021-10-11,Toronto,Summer,24.8,23.4,Partly Cloudy,49,1029,27,29,24,6,29
72,2021-10-16,Sydney,Winter,8.3,6.9,Partly Cloudy,84,1005,27,54,12,6,21
73,2021-10-21,London,Summer,14.6,14.4,Partly Cloudy,31,994,21,67,18,7,26
74,2021-10-26,Sydney,Winter,11.6,8.2,Partly Cloudy,54,1012,37,68,24,5,27
75,2021-10-31,Toronto,Spring,7.8,7.8,Partly Cloudy,42,1016,6,40,7,6,17
76,2021-11-05,Singapore,Winter,10.2,10.2,Partly Cloudy,87,1026,14,44,27,7,17
77,2021-11-10,Dubai,Summer,44.4,45.6,Partly Cloudy,93,1010,31,73,17,6,14
78,2021-11-15,Dubai,Summer,43.7,46.4,Cloudy,88,1014,10,90,40,4,12
79,2021-11-20,New York,Winter,-5.1,-5.7,Rainy,89,980,23,79,81,1,2
80,2021-11-25,Dubai,Fall,34.7,37.8,Partly Cloudy,91,987,2,29,15,6,29
81,2021-11-30,Berlin,Spring,9.1,7.3,Partly Cloudy,45,991,29,76,10,5,29
82,2021-12-05,Dubai,Spring,38.3,38.3,Cloudy,44,998,5,99,46,1,11
83,2021-12-10,Toronto,Summer,33.1,35.2,Rainy,84,1004,1,84,63,0,6
